iter	Passed	Remaining
0	3	1053
1	6	1042
2	9	1051
3	12	1052
4	16	1056
5	19	1057
6	22	1060
7	25	1058
8	29	1052
9	32	1047
10	35	1046
11	38	1044
12	42	1042
13	45	1038
14	48	1035
15	51	1034
16	54	1028
17	58	1025
18	61	1021
19	64	1017
20	67	1015
21	71	1013
22	74	1008
23	77	1004
24	80	1001
25	84	998
26	87	995
27	90	992
28	93	988
29	97	986
30	100	981
31	103	977
32	106	972
33	109	970
34	112	967
35	116	964
36	119	961
37	122	958
38	125	955
39	129	952
40	132	948
41	135	944
42	138	942
43	142	939
44	145	936
45	148	933
46	151	930
47	155	927
48	158	923
49	161	919
50	164	916
51	167	912
52	170	909
53	174	907
54	177	903
55	180	900
56	184	898
57	187	896
58	191	893
59	194	891
60	197	888
61	200	884
62	204	881
63	207	878
64	210	874
65	213	871
66	217	868
67	220	865
68	223	862
69	227	859
70	230	855
71	233	851
72	236	848
73	239	844
74	242	841
75	246	838
76	249	835
77	252	831
78	255	828
79	259	826
80	262	823
81	265	820
82	269	818
83	272	815
84	276	812
85	279	809
86	282	806
87	286	803
88	289	800
89	292	796
90	295	793
91	299	789
92	302	786
93	305	782
94	308	778
95	311	775
96	314	771
97	317	768
98	320	764
99	324	761
100	327	757
101	330	754
102	333	751
103	336	747
104	339	744
105	343	741
106	346	738
107	349	734
108	352	731
109	356	728
110	359	724
111	362	721
112	365	718
113	369	715
114	372	712
115	375	709
116	379	706
117	382	703
118	385	700
119	389	696
120	392	693
121	395	690
122	398	687
123	401	683
124	405	680
125	408	677
126	411	674
127	414	670
128	418	668
129	421	664
130	424	661
131	427	657
132	431	654
133	434	651
134	437	648
135	440	644
136	443	641
137	447	638
138	450	635
139	453	631
140	456	628
141	460	625
142	463	622
143	466	618
144	469	615
145	472	612
146	476	608
147	479	605
148	482	602
149	485	599
150	488	595
151	492	592
152	495	589
153	498	585
154	501	582
155	504	579
156	508	576
157	511	572
158	514	569
159	517	566
160	520	563
161	524	559
162	527	556
163	530	553
164	533	550
165	536	546
166	540	543
167	543	540
168	546	536
169	550	534
170	553	530
171	557	527
172	560	524
173	563	521
174	566	518
175	570	515
176	573	511
177	576	508
178	579	505
179	583	502
180	586	498
181	589	495
182	593	492
183	596	489
184	600	486
185	603	483
186	606	480
187	610	477
188	613	473
189	616	470
190	620	467
191	623	464
192	626	461
193	629	457
194	632	454
195	636	451
196	639	447
197	642	444
198	645	441
199	648	437
200	651	434
201	655	431
202	658	428
203	661	424
204	664	421
205	668	418
206	671	415
207	674	411
208	677	408
209	680	405
210	684	402
211	687	398
212	690	395
213	693	392
214	696	388
215	699	385
216	703	382
217	706	379
218	709	375
219	712	372
220	716	369
221	719	366
222	722	362
223	726	359
224	729	356
225	733	353
226	736	350
227	739	347
228	743	344
229	746	340
230	749	337
231	753	334
232	756	331
233	759	327
234	762	324
235	765	321
236	769	318
237	772	314
238	775	311
239	778	308
240	781	305
241	785	301
242	788	298
243	791	295
244	794	291
245	797	288
246	801	285
247	804	282
248	807	278
249	811	275
250	814	272
251	817	269
252	820	266
253	824	262
254	827	259
255	830	256
256	833	253
257	837	249
258	840	246
259	843	243
260	846	240
261	850	236
262	853	233
263	856	230
264	859	227
265	862	223
266	865	220
267	868	217
268	872	213
269	875	210
270	878	207
271	881	204
272	885	201
273	888	197
274	891	194
275	894	191
276	898	188
277	901	184
278	904	181
279	907	178
280	910	175
281	914	171
282	918	168
283	922	165
284	925	162
285	929	159
286	932	155
287	935	152
288	938	149
289	941	146
290	945	142
291	948	139
292	951	136
293	955	133
294	958	130
295	962	126
296	965	123
297	969	120
298	972	117
299	976	113
300	979	110
301	982	107
302	986	104
303	989	100
304	993	97
305	996	94
306	1000	91
307	1003	87
308	1006	84
309	1010	81
310	1013	78
311	1016	74
312	1019	71
313	1023	68
314	1026	65
315	1029	61
316	1032	58
317	1036	55
318	1039	52
319	1042	48
320	1045	45
321	1049	42
322	1052	39
323	1055	35
324	1059	32
325	1062	29
326	1065	26
327	1069	22
328	1072	19
329	1075	16
330	1078	13
331	1081	9
332	1085	6
333	1088	3
334	1091	0
